日期,高齡化社會(以房養老),長期照護(健保),少子化衝擊(育兒津貼),晚婚(不婚化)(家庭),外籍移工(外勞),白領移民開放(移民),中高齡就業(退休),教育分配不均(十二年國教),青年高失業率(青年就業),高房價(租屋),城鄉資源失衡(停車位),貧富差距擴大(低收入),薪資成長緩慢(最低薪資),高級人才流失(留學),世代資源不均(社會正義),數位轉型與自動化發展(雲端),電子廢棄物(電池回收),資(通)訊安全(電腦病毒),網路詐騙(網路購物),假消息(假新聞),零工經濟非典型就業(非典型就業),淨零排放的產業轉型壓力(減碳),極端氣候與水資源(水庫),海平面上升(溫室氣體),極端氣候對環境影響(綠建築),環境污染(垃圾),能源轉型(石油),糧食危機(休耕)
2011,724,4.534,92.33,421.88,41.52,147.3,180.37,55.15,19.83,760.32,60.18,42.88,18.96,70.64,4.38,538.962,7.86,50.1,50.15,14.9,1.854,538.25,369.6,18.52,61.23,526.608,447.888,14.85
2012,580,5.086,98.77,391.67,42.54,122.58,187.612,64.65,19.77,816.96,53.16,52.8,22.94,68,4.4,403.942,8.12,41.64,43.45,12.84,1.6956,411.5,343.2,15.77,50.85,487.872,312.046,11.88
2013,795,5.836,94.64,395.91,53.7,116.85,167.586,65.15,21.75,915.24,57.99,52.08,22.44,61.12,3.82,486.846,8.52,38.4,43.45,14.5,1.9128,336,397.6,14.57,50.4,508.896,305.908,11.27
2014,593,5.338,98.49,385.416,46.8,117.15,166.77,59.6,18.78,809.76,54.36,57.888,20.52,60.32,6.38,577.06,5.9,32.31,39.35,14.62,2.1072,256.75,356,13.06,44.76,496.224,286.068,12.02
2015,828,5.392,110.25,366.548,58.26,142.44,207.91,48.3,19.38,844.08,58.65,61.648,17.58,59.28,4.52,610.6,6.42,30.27,37.95,17.36,2.508,242.75,606.4,13.81,47.82,545.184,264.492,13.57
2016,995,5.736,100.24,368.774,61.62,131.61,231.2,42.5,22.62,904.2,59.4,66.016,18.8,54.64,4.46,553.496,5.52,28.59,42.4,17.58,3.3408,256,397.6,13.71,45.24,585.648,294.562,14.13
2017,964,6.206,113.582,371.212,73.56,138.03,273.53,42.2,19.59,957.72,66.27,68.336,23.2,60.56,3.28,615.416,7.06,29.94,34.95,16.74,2.7624,247.25,466.4,13.03,42.36,672.048,303.924,16.5
2018,929,6.804,132.104,361.99,74.7,131.1,290.87,41.9,17.94,964.56,69.03,71.552,22.9,55.2,5.8,670.628,8.26,26.34,29.85,21.02,3.312,273,547.2,12.91,40.17,715.536,313.1,15.97
2019,983,7.222,133.182,361.672,81.42,142.83,303.62,39.1,17.34,1012.68,70.11,76.704,21.94,52.4,4.96,685.162,9.3,30.96,28.81,29.76,5.8524,260,468,12.44,37.92,726.336,302.994,15.99
2020,901,9.694,126.14,379.48,108.54,125.37,321.98,38.25,28.8,1109.28,79.56,100.192,29.62,38.72,5.68,792.576,12.04,35.73,29.77,34.02,6.7668,299.25,654.4,13.35,43.35,785.088,428.048,21.77
2021,875,8.678,140.42,384.674,113.4,102,305.83,30.98,26.79,1149.24,71.1,79.664,25.1,34,5.94,789.308,10.6,33.06,26.11,27.3,7.206,385.75,1366.4,14.88,48.06,765.936,358.546,18.86
總和,9167,70.526,1240.148,4189.226,756.06,1417.26,2637.278,527.78,232.59,10244.04,699.81,729.76,244,614.88,53.62,6723.996,89.6,377.34,406.24,220.64,39.318,3506.5,5972.8,156.05,512.16,6815.376,3617.576,166.81
平均,833.3636364,6.411454545,112.7407273,380.8387273,68.73272727,128.8418182,239.7525455,47.98,21.14454545,931.2763636,63.61909091,66.34181818,22.18181818,55.89818182,4.874545455,611.2723636,8.145454545,34.30363636,36.93090909,20.05818182,3.574363636,318.7727273,542.9818182,14.18636364,46.56,619.5796364,328.8705455,15.16454545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
