日期,少子化、少子女化,生育率,育兒負擔、兒童養育,幼兒教育,兒童照顧、兒童健康,育兒成本,兒童權利公約,兒童發展,托育、幼托,育嬰假,產假,兒童津貼、育兒津貼
2011/1/1,14,7,0,11,0,0,0,17,21,17,13,29
2011/2/1,2,6,0,14,0,0,5,23,19,13,11,16
2011/3/1,5,5,0,15,0,0,0,14,19,23,15,25
2011/4/1,9,7,0,13,0,0,2,12,17,12,9,17
2011/5/1,8,2,0,18,0,0,0,14,21,6,13,13
2011/6/1,5,2,0,23,0,0,2,9,22,16,12,11
2011/7/1,5,6,0,20,0,0,0,17,14,16,14,14
2011/8/1,8,13,0,18,0,0,0,10,18,11,20,15
2011/9/1,8,5,0,17,0,0,2,12,24,15,16,11
2011/10/1,9,8,0,12,0,0,0,14,20,15,15,13
2011/11/1,11,6,0,14,0,0,0,14,20,14,16,8
2011/12/1,11,7,0,16,0,0,0,13,21,15,12,32
2012/1/1,9,6,0,21,0,0,0,8,34,12,8,55
2012/2/1,7,2,0,17,0,0,2,13,23,15,13,31
2012/3/1,6,6,0,15,0,0,5,15,29,16,14,35
2012/4/1,9,7,0,15,0,0,1,11,27,12,19,25
2012/5/1,8,4,0,17,0,0,0,12,30,14,12,24
2012/6/1,7,5,0,18,0,0,1,9,21,14,14,24
2012/7/1,4,3,0,15,0,0,0,10,23,17,16,18
2012/8/1,3,4,0,12,0,0,2,9,23,17,11,22
2012/9/1,5,2,0,14,0,0,0,14,25,14,16,31
2012/10/1,7,4,0,8,0,0,0,11,19,12,18,18
2012/11/1,7,4,0,12,0,0,2,17,18,12,17,18
2012/12/1,3,1,0,10,0,0,0,9,23,15,17,22
2013/1/1,7,6,0,10,0,0,0,8,21,12,13,23
2013/2/1,6,1,0,11,0,0,0,8,19,15,13,24
2013/3/1,7,6,0,15,0,0,0,13,30,16,14,18
2013/4/1,5,4,0,14,0,0,1,14,28,21,13,20
2013/5/1,7,6,0,13,0,0,0,12,30,16,13,18
2013/6/1,7,4,0,13,0,0,2,12,25,17,14,14
2013/7/1,3,4,0,14,0,0,0,12,24,17,13,18
2013/8/1,6,2,0,11,0,0,0,10,23,16,15,16
