日期,城鄉教育,教育補助,教育經費,教育機會均等,教育資源,偏鄉教育,原鄉教育,教育優先區,廢校,學習成就,國民教育,十二年國教,義務教育,
2011/1/1,0,29,17,0,0,0,0,9,0,0,34,6,16,
2011/2/1,0,37,12,0,0,0,0,0,0,0,26,0,0,
2011/3/1,0,38,3,0,0,0,0,0,0,0,29,3,7,
2011/4/1,0,36,10,3,0,0,0,7,6,0,39,0,3,
2011/5/1,0,17,12,2,0,6,0,0,0,0,41,11,0,
2011/6/1,0,29,8,5,0,0,0,4,0,0,54,16,4,
2011/7/1,0,25,0,0,0,0,0,0,0,0,40,0,2,
2011/8/1,0,37,3,0,0,0,0,0,0,0,29,11,0,
2011/9/1,0,35,0,0,0,0,0,2,0,0,37,13,5,
2011/10/1,0,30,7,5,0,0,0,5,0,0,30,19,2,
2011/11/1,0,15,9,0,0,3,0,9,0,0,30,16,0,
2011/12/1,0,27,21,0,0,6,0,5,0,0,35,9,2,
2012/1/1,0,24,0,3,0,5,0,6,6,0,31,10,3,
2012/2/1,0,45,9,0,0,5,0,0,0,0,39,17,0,
2012/3/1,0,27,11,0,0,3,0,7,0,0,39,20,3,
2012/4/1,0,19,11,0,0,3,0,3,3,0,37,48,12,
2012/5/1,0,25,7,0,0,0,0,4,4,0,44,33,4,
2012/6/1,0,20,3,4,0,0,0,3,2,0,49,42,6,
2012/7/1,0,16,5,0,0,4,0,7,0,0,34,10,2,
2012/8/1,0,29,9,0,0,0,0,2,0,0,30,22,0,
2012/9/1,0,37,11,3,0,0,0,4,0,0,54,30,3,
2012/10/1,0,24,5,0,0,3,0,10,0,0,35,19,0,
2012/11/1,0,21,8,5,0,0,0,7,0,0,29,15,6,
2012/12/1,0,24,8,4,0,0,0,4,0,0,26,26,3,
2013/1/1,0,22,6,1,0,3,0,4,0,0,32,16,3,
2013/2/1,0,17,5,1,0,0,0,4,2,0,23,14,4,
2013/3/1,0,20,11,0,0,0,0,0,0,0,30,35,2,
2013/4/1,0,15,6,0,0,0,0,6,0,0,30,29,4,
2013/5/1,0,18,6,1,0,0,0,5,0,0,42,32,4,
2013/6/1,0,17,5,2,0,0,0,2,0,0,45,63,3,
2013/7/1,0,19,5,0,0,2,0,2,0,0,27,25,3,
2013/8/1,0,25,7,0,0,0,0,1,0,0,30,23,0,
2013/9/1,0,24,3,0,0,2,0,4,1,0,34,40,3,
2013/10/1,0,19,6,1,0,2,0,13,2,0,42,47,7,
2013/11/1,0,18,3,3,0,3,0,5,0,0,29,31,3,
2013/12/1,0,14,6,0,0,1,0,2,1,0,35,43,2,
2014/1/1,0,20,5,1,0,0,0,4,0,0,26,26,5,
2014/2/1,0,20,4,0,0,0,0,2,3,0,28,33,1,
2014/3/1,0,18,6,1,0,0,0,4,2,0,25,33,7,
2014/4/1,0,21,7,0,0,0,0,5,3,0,36,28,5,
2014/5/1,0,20,5,1,0,0,0,3,1,0,39,40,3,
2014/6/1,0,23,7,0,0,3,0,3,0,0,41,100,6,
2014/7/1,0,16,4,0,0,0,0,2,0,0,30,22,2,
2014/8/1,0,26,5,0,0,2,0,2,3,0,20,31,3,
2014/9/1,0,25,7,1,0,1,0,6,1,0,26,22,6,
2014/10/1,0,17,4,1,0,0,0,12,2,0,22,18,4,
2014/11/1,0,18,5,0,0,0,0,7,0,0,25,21,6,
2014/12/1,0,22,7,1,0,2,0,5,2,0,25,26,3,
2015/1/1,0,16,4,5,0,2,0,4,1,0,26,29,4,
2015/2/1,0,18,1,0,0,2,0,1,2,0,19,13,5,
2015/3/1,0,26,5,0,0,4,0,5,2,0,28,22,4,
2015/4/1,0,15,3,0,0,4,0,1,2,0,20,23,2,
2015/5/1,0,19,7,0,0,2,0,3,1,0,30,19,3,
2015/6/1,0,15,8,0,0,6,0,2,1,0,39,51,7,
2015/7/1,0,14,1,0,0,3,0,0,3,0,22,17,3,
2015/8/1,0,20,3,2,0,2,0,2,4,0,21,12,2,
2015/9/1,0,28,7,0,0,3,0,3,3,0,19,17,3,
2015/10/1,0,19,10,0,0,3,0,8,4,0,20,11,3,
2015/11/1,0,19,5,1,0,4,0,5,3,0,24,11,2,
2015/12/1,0,15,8,0,0,3,0,5,0,0,23,13,2,
2016/1/1,0,18,5,1,0,4,0,3,2,0,17,16,3,
2016/2/1,0,18,3,0,0,3,0,4,1,0,21,11,4,
2016/3/1,0,24,7,0,0,5,0,3,2,0,25,15,5,
2016/4/1,0,17,5,0,0,3,0,2,2,0,25,3,0,
2016/5/1,0,17,7,1,0,4,0,2,2,0,28,18,2,
2016/6/1,0,17,6,0,0,5,0,4,2,0,28,19,5,
2016/7/1,0,18,4,0,0,2,0,3,0,0,23,13,4,
2016/8/1,0,29,3,0,0,3,0,1,3,0,17,7,5,
2016/9/1,0,28,4,1,0,4,0,6,3,0,17,8,1,
2016/10/1,0,19,5,1,0,3,0,9,0,0,15,10,4,
2016/11/1,0,20,7,1,0,2,0,5,1,0,20,11,3,
2016/12/1,0,17,6,0,0,5,0,3,0,0,18,10,4,
2017/1/1,0,18,5,0,0,3,0,4,1,0,19,11,3,
2017/2/1,0,23,6,1,0,1,0,3,0,0,25,10,3,
2017/3/1,0,22,4,0,0,3,0,2,2,0,24,14,4,
2017/4/1,0,17,4,2,0,5,0,2,1,0,25,14,5,
2017/5/1,0,18,6,0,0,5,0,1,2,0,24,12,3,
2017/6/1,0,15,4,0,0,0,0,1,1,0,22,17,3,
2017/7/1,0,33,6,0,0,1,0,2,0,0,20,6,3,
2017/8/1,0,25,4,0,0,3,0,3,1,0,16,6,3,
2017/9/1,0,31,8,2,0,2,0,3,1,0,20,10,3,
2017/10/1,0,19,7,0,0,5,0,9,1,0,13,14,5,
2017/11/1,0,20,6,1,0,4,0,3,1,0,18,12,3,
2017/12/1,0,21,7,0,0,4,0,3,2,0,17,13,4,
2018/1/1,0,20,5,0,0,3,0,4,1,0,18,13,4,
2018/2/1,0,20,4,1,0,3,0,3,1,0,16,9,5,
2018/3/1,0,22,6,0,0,4,0,3,2,0,21,18,7,
2018/4/1,0,12,4,1,0,5,0,1,3,0,19,12,4,
2018/5/1,0,22,9,3,0,3,0,2,2,0,24,16,5,
2018/6/1,0,21,6,1,0,4,0,1,1,0,22,20,6,
2018/7/1,0,19,5,0,0,3,0,1,1,0,13,10,2,
2018/8/1,0,25,4,0,0,4,0,3,1,0,17,8,4,
2018/9/1,0,29,7,0,0,2,0,2,0,0,18,12,5,
2018/10/1,0,21,10,1,0,2,0,5,2,0,16,17,1,
2018/11/1,0,13,6,1,0,3,0,4,2,0,19,15,5,
2018/12/1,0,15,6,1,0,4,0,2,2,0,16,9,3,
2019/1/1,0,20,4,0,0,3,0,2,1,0,19,14,4,
2019/2/1,0,25,5,1,0,3,0,0,3,0,14,9,1,
2019/3/1,0,19,5,1,0,2,0,0,3,0,23,20,5,
2019/4/1,0,16,5,0,0,4,0,2,3,0,22,16,3,
2019/5/1,0,17,4,1,0,2,0,2,1,0,27,18,6,
2019/6/1,0,15,5,0,0,4,0,1,0,0,21,18,4,
2019/7/1,0,17,6,0,0,3,0,3,2,0,13,8,2,
2019/8/1,0,25,4,3,0,2,0,1,1,0,14,8,1,
2019/9/1,0,28,3,1,0,2,0,3,2,0,17,12,4,
2019/10/1,0,19,6,1,0,2,0,5,1,0,15,8,4,
2019/11/1,0,16,4,1,0,3,0,1,1,0,14,8,5,
2019/12/1,0,17,6,0,0,2,0,2,0,0,18,11,4,
