日期,產業機器人、智慧機器人,產業創新,產業轉型,數位轉型,中小企業,自動化、自動化設備, 產業自動化,AI、人工智慧, 智慧化, 共享經濟,數位經濟, 數位化, 行動支付 ,物聯網,雲端、雲端運算
2011/1/1,0,2,0,0,8,7,0,26,0,0,0.6,2,0,2,32
2011/2/1,0,1,0,0,9,7,0,20,0,0,0,2,0,2,29
2011/3/1,1,2,1,0,10,9,0,21,0,0,0.6,2,0,2,35
2011/4/1,0.6,2,0,0.6,10,7.6,0,23,1,0,1,3,0,2,31
2011/5/1,1,1,0.6,0,10,7.6,0,23,1,0,1,2,0.6,2,126
2011/6/1,1,2,0,0,9,8,0,25,1,0,1,2,0,1,112
2011/7/1,1,1,0.6,0,8,6,0,20,0.6,0,1,2,0,2,79
2011/8/1,0,2,0.6,0,7,8,0,23,1,0,0.6,3,0,1,57
2011/9/1,1,2,0,0,8,10,0,22,0.6,0,0.6,2,0.6,2,50
2011/10/1,0.6,1,0.6,0,9,12,0,24,0.6,0,1,3,0,2,52
2011/11/1,0.6,2,0.6,0,8,7.6,0,26,1,0,0.6,3,0,1,41
2011/12/1,1,2,0,0,6,6,0,24,1,0,0.6,2,0.6,1,36
2012/1/1,1,1,0.6,0.6,7,4.6,0,21,1,0.6,0,3,0.6,1,27
2012/2/1,1,1,0.6,0,6,5,0,19,0,0,0,3,1,1,33
2012/3/1,0.6,1,0.6,0,8,8,0,24,1,0.6,0.6,3,0,1,36
2012/4/1,1,1,1,0,7,8,0,23,1,0,1,3,0,1,35
2012/5/1,0.6,2,0.6,0,8,8,0,23,1,0,0.6,4,0,1,35
2012/6/1,0.6,1,0.6,0,7,7.6,0,21,0.6,0,0,3,0.6,0.6,37
2012/7/1,0.6,1,0,0,6,5.6,0,21,0.6,0,0,3,0.6,0.6,33
2012/8/1,0.6,1,0.6,0,5,7,0,21,0.6,0,1,2,0.6,1,32
2012/9/1,1,2,0,1,6,5.6,0,20,0.6,0,0.6,1,0.6,1,41
2012/10/1,0.6,2,0.6,0,7,5.6,0,21,0.6,0.6,0.6,1,0,2,41
2012/11/1,0.6,1,0.6,0.6,7,7,0,23,1,0,0.6,2,0.6,1,40
2012/12/1,0.6,1,0.6,0,6,5.6,0,22,0.6,0,0.6,1,0.6,1,38
2013/1/1,0.6,1,0.6,0,7,6,0,20,1,0.6,0.6,2,0.6,1,43
2013/2/1,0.6,1,0.6,0,6,3,0,19,0.6,0,0.6,1,0.6,0.6,37
2013/3/1,0.6,1,0.6,0.6,6,6.6,0,22,0.6,0,0.6,2,1,1,38
2013/4/1,1,1,0.6,0,6,6,0,24,1,0,0,1,0.6,1,44
2013/5/1,0.6,1,0.6,0,6,7,0,22,1,0,0.6,2,0.6,0.6,42
2013/6/1,0.6,1,0,0,5,7,0,21,1,0.6,0.6,1,0.6,1,40
2013/7/1,0.6,1,0,0,5,5.6,0,20,0.6,0,1,2,0.6,0.6,38
2013/8/1,0.6,1,0,0.6,6,7,0,18,0.6,0,0.6,1,1,1,39
2013/9/1,0.6,1,0.6,0,5,6.6,0,21,0.6,0.6,0.6,1,0.6,1,44
2013/10/1,1,1,0.6,0.6,6,6.6,0,34,0.6,0,0.6,2,1,1,60
2013/11/1,1,1,0,0.6,7,6.6,0,29,1,0.6,0.6,2,1,1,58
2013/12/1,1,1,0.6,0,6,6,0,29,0.6,0,0.6,2,0.6,1,63
2014/1/1,1,1,0.6,0,5,4.6,0,22,0.6,0,0.6,1,1,2,65
