日期,氣候變遷減緩知識,氣候正效益,淨負排放,碳匯,碳權,碳抵銷,土地利用、國土規劃,氣候危機,氣候變遷,聖嬰、反聖嬰,災害風險,平時減災,災害管理、災害應變、救災應變,災後復原,環境治理,綠建築,極端氣候、氣候異常,熱浪
2011/1/1,0,0,0,0,8,0,11,0,39,54,0,0,10,0,0,84,9,6
2011/2/1,0,0,0,0,0,0,19,0,25,36,0,0,0,0,0,54,0,0
2011/3/1,0,0,0,0,9,0,8,0,29,37,0,0,13,0,0,61,0,0
2011/4/1,0,0,0,0,0,0,11,0,39,32,0,0,16,0,0,100,0,10
2011/5/1,0,0,0,14,9,0,7,0,13,23,0,0,15,0,0,91,0,12
2011/6/1,0,0,0,9,0,0,6,0,22,30,0,0,7,0,0,83,0,14
2011/7/1,0,0,0,0,0,0,27,0,13,7,0,0,18,0,0,72,18,18
2011/8/1,0,0,0,0,4,0,11,0,12,4,0,0,19,0,0,63,0,26
2011/9/1,0,0,0,0,6,0,15,0,23,16,0,0,15,0,0,46,0,19
2011/10/1,0,0,0,0,12,0,6,0,27,30,0,0,13,0,0,66,4,5
2011/11/1,0,0,0,6,4,0,11,0,37,25,0,0,6,0,0,80,7,4
2011/12/1,0,0,0,0,0,0,21,0,33,25,0,0,0,0,0,88,4,0
2012/1/1,0,0,0,0,8,0,10,0,18,15,0,0,10,0,0,61,0,17
2012/2/1,0,0,0,0,0,0,0,0,23,14,0,0,4,0,0,56,0,4
2012/3/1,0,0,0,5,6,0,15,0,22,17,0,0,13,0,0,70,7,7
2012/4/1,0,0,0,0,4,0,10,0,21,25,0,0,4,0,0,89,0,3
2012/5/1,0,0,0,0,4,0,15,0,25,10,0,0,12,0,0,77,3,11
2012/6/1,0,0,0,0,0,0,7,0,19,23,0,0,50,0,0,66,2,11
2012/7/1,0,0,0,2,5,0,0,0,9,7,0,0,4,0,0,72,4,32
2012/8/1,0,0,0,0,0,0,6,0,12,23,0,0,26,0,0,52,3,18
2012/9/1,0,0,0,6,0,0,6,0,18,14,0,0,10,0,0,49,0,18
