日期,風險溝通,氣候災害、天然災害,強降雨,水災、水患,暴雨,乾旱、旱災、缺水,水資源、水資源安全,水資源再利用,灌溉用水,工業用水,家庭用水,需水量,水庫,地下水,超抽地下水
2011/1/1,0,0.6,0,1.6,0.6,0.6,0.6,0,0,0,0,0,1,0.6,0
2011/2/1,0,0.6,0.6,1.2,0.6,1.2,0.6,0,0,0.6,0,0,1,0.6,0.6
2011/3/1,0,0.6,0,1.6,0.6,1.2,0.6,0,0,0,0,0,1,0.6,0
2011/4/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2011/5/1,0,0.6,0,1.2,0.6,1.2,1,0,0,0.6,0,0,6,0.6,0.6
2011/6/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0.6,0,0,3,0.6,0
2011/7/1,0,0.6,0,1.2,0.6,0.6,0.6,0,0,0,0,0,2,0.6,0
2011/8/1,0,0.6,0.6,1.2,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2011/9/1,0,0.6,0.6,1.2,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0.6
2011/10/1,0,0.6,0,2.6,0.6,0.6,0.6,0,0,0,0,0,2,0.6,0.6
2011/11/1,0,0,0.6,1.6,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2011/12/1,0,0.6,0,1,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2012/1/1,0,0.6,0.6,1.2,0.6,0.6,0.6,0,0,0,0,0,1,0.6,0.6
2012/2/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,1,0.6,0
2012/3/1,0,0.6,0.6,0.6,0.6,1.2,0.6,0,0,0,0,0,1,0.6,0.6
2012/4/1,0,0,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2012/5/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2012/6/1,0,1,0.6,1.6,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2012/7/1,0,0.6,0.6,1.2,0.6,1.2,0.6,0,0,0,0,0,1,0.6,0
2012/8/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2012/9/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0,0,0,1,0.6,0
2012/10/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0.6
2012/11/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2012/12/1,0,0.6,0.6,0.6,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0.6
2013/1/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0,0,0,1,0.6,0
2013/2/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2013/3/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0.6
2013/4/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0.6,0,0,4,0.6,0
2013/5/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0.6,0,0,3,0.6,0
2013/6/1,0,0.6,0,1.2,0.6,0.6,0.6,0,0,0,0,0,2,0.6,0.6
2013/7/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2013/8/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2013/9/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2013/10/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2013/11/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2013/12/1,0,0,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2014/1/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,1,0.6,0
2014/2/1,0,0,0,1.2,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2014/3/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2014/4/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2014/5/1,0,0,0.6,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2014/6/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2014/7/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2014/8/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2014/9/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2014/10/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2014/11/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2014/12/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0.6
2015/1/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2015/2/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,3,0.6,0
2015/3/1,0,0.6,0.6,1.2,0.6,2.2,1,0,0,0.6,0,0,11,0.6,0
2015/4/1,0,0.6,0.6,1.2,0.6,2.2,1,0,0,0.6,0,0,11,0.6,0.6
2015/5/1,0,0.6,0.6,1.2,0.6,1.8,1,0,0,0.6,0,0,23,0.6,0.6
2015/6/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0.6,0,0,6,0.6,0
2015/7/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,6,0.6,0
2015/8/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,5,0.6,0
2015/9/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,3,0.6,0.6
2015/10/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
