日期,海水倒灌,海平面上升,溫室氣體、甲烷,地球暖化,沿海居民,融冰、海冰融化,氣候難民,鹽害,地層下陷,低窪
2011/1/1,0,0,156,0,0,0,0,0,0,0
2011/2/1,0,0,86,18,0,16,0,0,14,0
2011/3/1,0,18,94,0,0,0,0,0,13,0
2011/4/1,0,16,88,0,0,20,0,0,19,13
2011/5/1,0,17,159,8,0,26,0,0,26,0
2011/6/1,0,0,169,27,0,0,0,0,59,0
2011/7/1,0,0,78,0,0,46,0,0,0,0
2011/8/1,0,10,80,0,0,0,0,0,18,8
2011/9/1,0,0,88,18,0,27,0,0,22,0
2011/10/1,0,10,97,15,0,0,18,0,10,7
2011/11/1,0,0,72,52,0,0,0,0,18,0
2011/12/1,0,0,71,0,0,0,0,0,25,0
2012/1/1,0,11,83,14,0,0,0,0,27,0
2012/2/1,0,15,75,0,0,9,6,0,20,0
2012/3/1,0,9,55,19,0,9,0,0,12,0
2012/4/1,0,0,72,18,0,0,7,0,15,0
2012/5/1,6,18,80,19,0,12,0,0,33,5
2012/6/1,9,18,81,20,0,21,0,0,10,11
2012/7/1,0,0,74,25,0,0,0,0,16,0
2012/8/1,13,7,67,8,0,7,7,0,15,11
2012/9/1,14,17,71,11,0,0,0,0,19,0
2012/10/1,0,0,84,13,0,0,0,0,6,0
2012/11/1,5,21,64,20,0,4,10,0,15,0
2012/12/1,0,15,66,17,0,0,4,0,15,17
2013/1/1,0,15,75,12,0,12,0,0,8,0
2013/2/1,0,0,28,0,0,0,5,0,5,0
2013/3/1,0,0,82,19,0,0,0,0,12,0
2013/4/1,0,32,62,17,0,8,0,0,21,0
2013/5/1,0,9,88,27,0,4,0,0,11,0
2013/6/1,0,18,84,8,0,5,5,0,6,9
2013/7/1,4,0,59,9,0,5,0,0,9,0
2013/8/1,0,0,47,14,0,0,0,0,10,0
2013/9/1,8,5,73,13,0,6,0,0,10,0
2013/10/1,0,11,77,17,0,4,5,0,13,0
2013/11/1,0,17,67,25,0,7,0,0,11,0
2013/12/1,0,10,43,26,0,0,13,0,18,0
2014/1/1,5,6,70,10,0,3,0,0,16,0
2014/2/1,0,6,53,9,0,7,0,0,12,0
2014/3/1,0,12,70,12,0,7,0,0,0,0
2014/4/1,0,11,81,17,0,6,0,0,16,4
2014/5/1,0,12,83,20,0,0,5,0,25,0
2014/6/1,12,10,65,13,0,0,0,0,18,0
2014/7/1,0,8,53,8,0,0,0,0,25,8
2014/8/1,0,3,90,9,0,0,0,0,8,0
2014/9/1,0,9,48,8,0,7,0,0,7,0
2014/10/1,0,8,73,7,0,7,0,0,10,0
2014/11/1,0,6,63,11,0,5,0,0,8,0
2014/12/1,3,4,78,19,0,0,3,0,14,0
2015/1/1,3,8,59,15,0,5,0,0,13,0
2015/2/1,0,0,35,13,0,10,0,0,11,6
2015/3/1,6,7,60,7,0,0,3,0,18,3
2015/4/1,0,7,70,14,0,4,5,0,7,4
2015/5/1,0,3,74,7,0,4,0,0,12,0
2015/6/1,0,26,90,14,0,0,0,0,18,3
2015/7/1,0,5,72,11,0,0,0,0,18,0
2015/8/1,2,6,56,9,0,2,0,0,24,0
2015/9/1,4,8,58,10,0,3,0,0,27,2
2015/10/1,2,4,76,19,0,3,4,0,35,0
2015/11/1,2,12,80,16,0,8,0,0,13,0
2015/12/1,0,13,84,22,0,8,4,0,13,2
2016/1/1,2,10,68,19,0,0,0,0,5,2
2016/2/1,0,3,58,12,0,3,0,0,19,8
2016/3/1,0,8,90,18,0,4,2,0,8,0
2016/4/1,0,10,62,18,0,8,0,0,10,2
2016/5/1,0,6,67,26,0,5,5,0,4,0
2016/6/1,0,10,75,17,0,0,0,0,14,0
2016/7/1,4,9,49,13,0,0,0,0,6,0
2016/8/1,4,9,47,12,0,0,3,0,13,0
2016/9/1,2,0,53,19,0,8,0,0,25,4
2016/10/1,0,9,81,15,0,6,0,0,12,0
2016/11/1,0,16,97,23,0,14,2,0,9,0
2016/12/1,11,2,72,20,0,0,9,0,15,0
2017/1/1,3,8,58,14,0,7,6,0,6,0
2017/2/1,0,11,56,8,0,4,0,0,9,0
2017/3/1,5,10,83,15,0,4,0,0,9,0
2017/4/1,3,6,83,11,0,5,0,0,13,2
2017/5/1,3,0,75,14,0,0,0,0,34,4
2017/6/1,2,10,87,26,0,4,0,0,8,3
2017/7/1,0,0,45,13,0,5,0,0,5,5
2017/8/1,3,6,44,10,0,10,0,0,4,0
2017/9/1,0,9,72,15,0,5,0,0,18,0
2017/10/1,4,6,64,12,0,9,0,0,14,0
2017/11/1,2,7,72,10,0,7,0,0,10,0
2017/12/1,3,9,68,12,0,8,0,0,4,4
2018/1/1,0,7,77,18,0,2,5,0,6,0
2018/2/1,3,9,53,7,0,5,0,0,10,0
2018/3/1,2,9,67,12,0,0,0,0,13,5
2018/4/1,3,10,54,26,0,9,0,0,10,5
2018/5/1,0,9,73,24,0,5,3,0,9,2
2018/6/1,3,13,84,17,0,8,0,0,10,0
2018/7/1,4,3,38,9,0,2,0,0,9,3
2018/8/1,2,6,58,15,0,5,0,0,27,5
2018/9/1,5,13,42,13,0,0,0,0,25,3
2018/10/1,0,9,67,18,0,0,0,0,12,0
2018/11/1,0,5,65,27,0,0,0,0,15,0
2018/12/1,3,10,59,14,0,7,0,0,6,0
2019/1/1,4,7,66,8,0,2,0,0,18,0
2019/2/1,0,8,46,10,0,3,0,0,9,6
2019/3/1,0,11,61,19,0,3,0,0,8,0
2019/4/1,4,11,65,16,0,5,3,0,14,3
2019/5/1,4,22,58,16,0,5,0,0,7,3
2019/6/1,2,16,53,10,0,11,0,0,9,5
2019/7/1,0,5,41,13,0,8,0,0,8,5
2019/8/1,0,12,45,12,0,6,0,0,8,2
2019/9/1,0,9,53,16,0,9,0,0,9,5
2019/10/1,4,16,59,10,0,3,3,0,23,2
2019/11/1,3,11,69,14,0,5,0,0,8,4
2019/12/1,0,14,69,16,0,4,0,0,10,0
2020/1/1,0,5,63,10,0,5,0,0,9,0
2020/2/1,2,7,45,14,0,4,0,0,10,0
2020/3/1,0,8,70,17,0,4,0,0,8,0
2020/4/1,2,12,73,15,0,3,2,0,9,0
2020/5/1,0,6,69,17,0,2,0,0,14,9
2020/6/1,0,4,56,18,0,7,4,0,12,0
2020/7/1,3,0,45,12,0,4,0,0,18,5
2020/8/1,0,20,49,14,0,7,0,0,11,3
2020/9/1,2,17,46,17,0,7,2,0,14,0
2020/10/1,3,10,66,6,0,5,0,0,9,0
2020/11/1,0,10,60,10,0,0,2,0,11,0
2020/12/1,3,15,76,10,0,2,3,0,10,0
2021/1/1,2,4,61,11,0,2,0,0,6,2
2021/2/1,2,7,45,4,0,0,0,0,9,0
2021/3/1,3,14,63,7,0,4,0,0,8,2
2021/4/1,2,15,66,17,0,5,4,0,34,5
