日期,漂綠,氣候尋租,碳排放途徑,碳移除途徑 ,碳預算,碳邊境調整機制,碳捕捉,碳封存,綠色拆遷,綠色循環生產,碳金融化, 碳定價,能源稅,綠色消費,公民電廠,躉購費率, 綠色衝突,循環經濟,普惠金融,綠色金融,永續金融,環境永續,淨零排放,碳排、碳稅,碳交易 ,節能減碳、減碳,工業用電效率
2011/1/1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,12,0,10,0,11,15,116,0
2011/2/1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,21,0,70,0
2011/3/1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,18,10,117,0
2011/4/1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,16,8,149,0
2011/5/1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,12,0,34,0,128,0
2011/6/1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,26,5,160,0
2011/7/1,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,4,0,0,0,7,0,6,0,11,0,97,0
2011/8/1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,0,5,7,0,0,24,0,32,9,98,0
2011/9/1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,4,0,0,0,13,0,11,8,122,0
2011/10/1,0,0,0,0,0,0,0,5,0,0,0,0,6,13,0,0,0,0,0,0,0,15,0,33,12,129,0
2011/11/1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,4,0,0,0,0,0,14,0,17,16,127,0
2011/12/1,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,7,0,0,0,15,0,25,12,106,0
2012/1/1,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,16,4,84,0
2012/2/1,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,4,0,0,0,19,9,73,0
2012/3/1,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,9,0,4,0,24,0,97,0
2012/4/1,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,8,0,0,9,0,29,0,134,0
2012/5/1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,18,10,130,0
2012/6/1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,11,0,18,0,105,0
2012/7/1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,0,0,0,3,0,10,3,67,0
2012/8/1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,3,0,0,0,0,0,21,0,65,0
2012/9/1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,12,0,18,5,76,0
