日期,空氣汙染,水汙染,地下水汙染,地表水系汙染,優養化,海洋汙染,海水酸化,海洋暖化,紅潮,廢棄物、垃圾,土壤鹽鹼化,沙漠化,資源回收,越境汙染,棲地保育 ,野生動植物保育,生物多樣性,物種滅絕,環境保護、環保
2011/1/1,0.6,0.6,0,0,0,0,0,0,0,23,0,0,7,0,0,0,1,0,33
2011/2/1,0,0,0,0,0,0.6,0,0,0.6,25,0,0,6,0,0,0,0,0,31
2011/3/1,0.6,0.6,0,0,0.6,0,0,0,0,18,0,0,4,0,0,0,1,1,35
2011/4/1,1,1,0.6,0,0.6,0,0,0,0,18,0,0,5,0,0,0,0.6,0,36
2011/5/1,0.6,0.6,0,0,0,0,0,0,0.6,18,0.6,0.6,5,0,0,0,1,0,37
2011/6/1,1,0.6,0.6,0,1,0,0,0,0,20,0,0.6,4,0,0,0,1,0,37
2011/7/1,0,0.6,0,0,0,0,0,0,0,18,0,0,5,0,0,0,1,0,29
2011/8/1,0.6,0.6,0,0,0.6,0,0,0,0,19,0,0,5,0,0,0,0,0,30
2011/9/1,1,0.6,0.6,0,0,0.6,0,0,0,21,0,0,5,0,0,0,0.6,0,32
2011/10/1,0.6,0,0,0,0.6,0,0,0,0,20,0,0,6,0,0,0,1,0,33
2011/11/1,0,0.6,0,0,0.6,0,0,0,0,20,0,0,6,0,0,0,1,0,34
2011/12/1,1,0.6,0,0,0.6,0,0,0,0.6,18,0,0,5,0,0,0,0.6,0,29
2012/1/1,1,0.6,0,0,0,0.6,0,0,0,26,0.6,0,4,0,0,0,1,0.6,28
2012/2/1,0,0.6,0.6,0,0.6,0,0,0,0,18,0,0,4,0,0,0,0.6,0.6,27
2012/3/1,0.6,0,0,0,0.6,0.6,0,0,0.6,18,0,0,5,0,0,0,0.6,0,32
2012/4/1,0.6,1,0,0,0,0,0,0,0,18,0,0,5,0,0,0,1,0,33
2012/5/1,1,0.6,0,0,0.6,0,0,0,0,20,0,0,5,0,0,0,1,0,30
2012/6/1,0.6,0.6,0,0,0.6,0,0,0,0,21,0,0.6,4,0,0,0,1,0,28
2012/7/1,1,0.6,0.6,0,0.6,0,0,0,0.6,22,0,0,5,0,0,0,0.6,0,27
2012/8/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0.6,19,0,0,4,0,0,0,0.6,0,26
2012/9/1,0.6,0.6,0,0,0.6,0,0,0,1,18,0,0,5,0,0,0,0.6,0,29
2012/10/1,0.6,0.6,0,0,0.6,0,0,0,1,21,0,0.6,4,0,0,0,0.6,0,29
2012/11/1,0.6,0,0,0,0,0,0,0,0.6,17,0,0.6,4,0,0,0,1,0,28
2012/12/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,18,0,0,4,0,0,0,0.6,0,29
2013/1/1,1,0.6,0.6,0,0.6,0,0,0,0.6,18,0.6,0,4,0,0,0,1,0,27
2013/2/1,0.6,0.6,0,0,0,0,0,0,0.6,28,0,0,4,0,0,0,0.6,0,24
2013/3/1,1,0.6,0.6,0,0.6,0,0,0,0.6,17,0,0,5,0,0,0,1,0,27
2013/4/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,17,0,0.6,4,0,0,0,1,0,28
2013/5/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,18,0,0,4,0,0,0,1,0,29
2013/6/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,20,0,0,4,0,0,0,1,0.6,24
2013/7/1,0.6,0,0,0,0.6,0,0,0,0.6,21,0,0.6,4,0,0,0,0.6,0,23
2013/8/1,0.6,0.6,0.6,0,0,0,0,0,0.6,19,0,0,4,0,0,0,0.6,0,24
2013/9/1,0.6,0,0,0,0.6,0.6,0,0,0.6,22,0,0.6,4,0,0,0,0.6,0.6,27
2013/10/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0.6,19,0,0,4,0,0,0,0.6,0,31
2013/11/1,1,0.6,0,0,0.6,0,0,0,0.6,19,0,0.6,4,0,0,0,1,0.6,26
2013/12/1,1,1,0,0,0.6,0,0,0,0.6,18,0,0,4,0,0,0,0.6,0,27
2014/1/1,1,0.6,0,0,0.6,0.6,0,0,0.6,28,0,0,5,0,0,0,0.6,0.6,26
2014/2/1,0.6,0.6,0,0,0,0,0,0,2,23,0,0,3,0,0,0,0.6,0,23
2014/3/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,18,0.6,0,3,0,0,0,0.6,0,26
2014/4/1,1,0.6,0,0,0,0.6,0,0,0.6,25,0.6,0.6,4,0,0,0,1,0.6,31
2014/5/1,1,1,0.6,0,0.6,0.6,0,0,0.6,20,0,0.6,4,0,0,0,1,0,27
2014/6/1,1,1,0,0,0.6,0.6,0,0,0.6,23,0,0,5,0,0,0,1,0,27
2014/7/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,21,0,0.6,4,0,0,0,0.6,0,26
2014/8/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,20,0,0.6,3,0,0,0,0.6,0,28
2014/9/1,0.6,0.6,0,0,0.6,0,0,0,0.6,24,0,0.6,4,0,0,0,0.6,0,30
2014/10/1,0.6,0.6,0,0,0.6,0,0,0,0.6,22,0.6,0.6,3,0,0,0,0.6,0.6,27
2014/11/1,0.6,0.6,0,0,0.6,0.6,0,0,0,20,0,0.6,3,0,0,0,0.6,0.6,26
2014/12/1,1,0.6,0,0,0.6,0.6,0,0,0.6,20,0.6,0.6,4,0,0,0,0.6,0,27
2015/1/1,1,1,0,0,0.6,0,0,0,0.6,21,0,0.6,5,0,0,0,0.6,0,24
2015/2/1,0.6,0.6,0,0,0.6,0,0,0,0.6,35,0,0,4,0,0,0,0.6,0.6,22
2015/3/1,1,0.6,0,0,0,0,0,0,0.6,22,0,0,4,0,0,0,1,0,29
2015/4/1,1,1,0,0,0.6,0.6,0,0,0.6,23,0.6,0.6,4,0,0,0,0.6,0,29
2015/5/1,1,1,0,0,0.6,0.6,0,0,0.6,25,0,0.6,4,0,0,0,0.6,0,27
2015/6/1,1,1,0.6,0,0.6,0.6,0,0,0.6,27,0,0.6,5,0,0,0,1,0.6,26
2015/7/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,26,0.6,0,4,0,0,0,0.6,0,27
2015/8/1,0.6,0.6,0.6,0,0.6,0.6,0,0,1,30,0,0,4,0,0,0,0.6,0,26
2015/9/1,0.6,0.6,0,0,0,0.6,0,0,0.6,31,0.6,0.6,4,0,0,0,0.6,0,28
2015/10/1,1,1,0,0,0.6,0.6,0,0,0.6,27,0,0.6,4,0,0,0,0.6,0,29
2015/11/1,1,0.6,0,0,0.6,0.6,0,0,0.6,25,0,0.6,4,0,0,0,1,0,32
2015/12/1,2,0.6,0.6,0,0.6,0.6,0,0,1,26,0.6,0.6,4,0,0,0,0.6,0.6,31
