日期,乾淨用水,糧食危機,糧食安全 ,糧食進口,糧食自給率,飼料自給率,糧食短缺,漁業資源,魚場枯竭、過度捕撈,生產過剩、歉收,青農、青年農民,農作物,農村生態保育,可耕地,休耕,農業永續經營,食農教育,食物浪費、糧食浪費,惜食
2011/1/1,0,0,0,0,0,0,0,0,0,15,19,22,0,0,0,0,30,0,16
2011/2/1,0,20,0,0,0,0,0,0,0,0,58,0,0,0,0,0,18,0,0
2011/3/1,0,22,15,0,29,0,0,0,0,13,0,63,0,0,80,0,0,14,0
2011/4/1,0,22,17,0,13,0,0,0,0,0,18,0,0,0,0,0,0,29,21
2011/5/1,0,70,0,0,0,0,0,0,0,12,16,29,0,0,16,0,0,0,0
2011/6/1,0,38,0,0,12,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2011/7/1,0,12,18,0,0,0,0,0,0,12,30,30,0,0,39,0,0,0,0
2011/8/1,0,0,15,0,0,0,0,0,0,27,0,0,0,0,22,0,0,15,0
2011/9/1,0,13,14,0,0,0,0,0,0,0,23,34,0,0,27,0,0,0,0
2011/10/1,0,47,21,0,0,0,0,0,0,27,26,0,0,0,48,0,0,47,0
2011/11/1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,16,0
2011/12/1,0,19,20,0,0,0,0,0,0,0,0,25,0,0,36,0,0,0,0
2012/1/1,0,28,13,0,0,0,0,0,0,0,0,55,0,0,30,0,0,0,0
2012/2/1,0,29,0,0,0,0,0,0,0,0,0,19,0,0,16,0,0,10,15
2012/3/1,0,36,0,0,0,0,0,0,0,0,0,21,0,0,14,0,0,0,0
2012/4/1,0,18,0,0,0,0,0,0,0,10,0,0,0,0,35,0,0,0,26
2012/5/1,0,16,18,0,9,0,0,0,0,9,0,22,0,0,20,0,0,0,0
2012/6/1,0,0,0,0,15,0,0,0,0,0,0,21,0,0,9,0,0,8,0
2012/7/1,0,20,0,0,0,0,0,0,0,0,14,22,0,0,25,0,0,11,0
2012/8/1,0,22,0,0,7,0,0,0,0,0,8,31,0,0,32,0,0,12,0
2012/9/1,0,0,12,0,7,0,0,0,0,0,0,12,0,0,10,0,0,0,26
2012/10/1,0,0,0,0,20,0,0,0,0,0,9,60,0,0,24,0,0,0,0
2012/11/1,0,16,0,0,11,0,0,0,0,27,10,31,0,0,49,0,0,11,0
2012/12/1,0,20,8,0,0,0,0,0,0,0,20,25,0,0,54,0,0,0,0
2013/1/1,0,9,0,0,0,0,0,0,0,0,12,45,0,0,57,0,11,13,0
2013/2/1,0,8,8,0,0,0,0,0,0,0,10,17,0,0,9,0,0,0,0
2013/3/1,0,6,0,0,8,0,0,0,0,0,0,17,0,0,21,0,9,10,0
2013/4/1,0,17,0,0,7,0,0,0,0,0,0,19,0,0,13,0,0,20,0
2013/5/1,0,8,0,0,0,0,0,0,0,0,13,29,0,0,23,0,0,0,10
2013/6/1,0,15,8,0,0,0,0,0,0,0,17,20,0,0,16,0,7,9,0
2013/7/1,0,18,0,0,7,0,0,0,0,0,9,18,0,0,22,0,0,0,0
2013/8/1,0,0,6,0,0,0,0,0,0,0,0,15,0,0,24,0,7,11,0
2013/9/1,0,0,0,0,10,0,0,0,0,0,8,29,0,0,14,0,0,5,12
2013/10/1,0,19,6,0,0,0,0,0,0,0,0,22,0,0,16,0,12,0,0
2013/11/1,0,12,0,0,0,0,0,0,0,0,15,39,0,0,15,0,9,5,15
2013/12/1,0,0,0,0,10,0,0,0,0,0,11,32,0,0,18,0,8,0,0
2014/1/1,0,0,5,0,7,0,0,0,0,9,16,41,0,0,12,0,0,22,5
2014/2/1,0,0,0,0,9,0,0,0,0,14,14,37,0,0,9,0,0,14,0
2014/3/1,0,13,7,0,6,0,0,0,0,0,11,41,0,0,8,0,0,5,23
2014/4/1,0,12,15,0,0,0,0,0,0,0,15,38,0,0,21,0,6,0,0
2014/5/1,0,12,5,0,5,0,0,0,0,0,10,32,0,0,20,0,12,0,4
2014/6/1,0,9,5,0,0,0,0,0,0,0,21,15,0,0,28,0,6,15,0
2014/7/1,0,8,0,0,9,0,0,0,0,0,13,20,0,0,14,0,0,0,0
2014/8/1,0,8,0,0,0,0,0,0,0,0,0,32,0,0,18,0,0,16,0
2014/9/1,0,7,0,0,0,0,0,0,0,6,0,27,0,0,9,0,0,5,7
2014/10/1,0,13,6,0,14,0,0,0,0,0,7,41,0,0,13,0,10,7,5
2014/11/1,0,0,0,0,10,0,0,0,0,0,17,14,0,0,10,0,11,0,7
2014/12/1,0,17,12,0,5,0,0,0,0,4,14,35,0,0,63,0,19,11,4
2015/1/1,0,7,5,0,0,0,0,0,0,6,15,24,0,0,62,0,8,8,0
2015/2/1,0,10,16,0,0,0,0,0,0,0,16,20,0,0,29,0,0,0,0
2015/3/1,0,13,0,0,0,0,0,0,0,0,7,40,0,0,32,0,13,16,0
2015/4/1,0,16,0,0,6,0,0,0,0,0,16,33,0,0,28,0,9,4,4
2015/5/1,0,8,0,0,6,0,0,0,0,0,11,40,0,0,16,0,3,15,10
2015/6/1,0,8,5,0,0,0,0,0,0,0,20,28,0,0,15,0,0,20,0
2015/7/1,0,0,0,0,0,0,0,0,0,0,21,21,0,0,19,0,13,3,0
2015/8/1,0,0,5,0,16,0,0,0,0,0,7,36,0,0,23,0,8,11,0
2015/9/1,0,15,0,0,8,0,0,0,0,3,21,36,0,0,18,0,13,0,6
2015/10/1,0,4,0,0,15,0,0,0,0,0,37,44,0,0,12,0,8,13,0
2015/11/1,0,9,4,0,0,0,0,0,0,11,14,26,0,0,12,0,9,13,0
2015/12/1,0,9,7,0,8,0,0,0,0,3,32,55,0,0,16,0,14,11,0
2016/1/1,0,0,0,0,0,0,0,0,0,0,15,34,0,0,29,0,13,8,14
2016/2/1,0,6,0,0,0,0,0,0,0,10,20,32,0,0,10,0,11,27,4
2016/3/1,0,9,0,0,12,0,0,0,0,0,11,31,0,0,8,0,8,15,0
2016/4/1,0,12,4,0,5,0,0,0,0,4,21,36,0,0,14,0,12,9,5
2016/5/1,0,6,5,0,11,0,0,0,0,10,19,46,0,0,14,0,13,26,4
2016/6/1,0,0,0,0,7,0,0,0,0,0,22,31,0,0,17,0,12,19,0
2016/7/1,0,7,21,0,6,0,0,0,0,0,22,40,0,0,22,0,7,0,5
2016/8/1,0,0,0,0,0,0,0,0,0,4,24,26,0,0,6,0,0,10,0
2016/9/1,0,7,0,0,0,0,0,0,0,0,18,39,0,0,10,0,9,10,5
2016/10/1,0,9,0,0,6,0,0,0,0,0,27,55,0,0,9,0,0,7,10
2016/11/1,0,7,0,0,13,0,0,0,0,3,26,33,0,0,26,0,18,11,9
2016/12/1,0,12,0,0,0,0,0,0,0,6,30,34,0,0,11,0,22,11,9
2017/1/1,0,7,3,0,0,0,0,0,0,4,22,38,0,0,21,0,17,9,8
2017/2/1,0,4,0,0,12,0,0,0,0,0,21,38,0,0,41,0,27,9,3
2017/3/1,0,3,0,0,6,0,0,0,0,0,26,47,0,0,24,0,23,16,18
2017/4/1,0,8,18,0,0,0,0,0,0,0,18,46,0,0,16,0,25,15,4
2017/5/1,0,0,0,0,0,0,0,0,0,0,27,46,0,0,48,0,28,6,3
2017/6/1,0,6,5,0,9,0,0,0,0,0,27,43,0,0,11,0,20,14,0
2017/7/1,0,0,0,0,15,0,0,0,0,0,24,40,0,0,11,0,11,9,10
2017/8/1,0,0,5,0,5,0,0,0,0,0,24,30,0,0,11,0,28,12,4
2017/9/1,0,0,0,0,5,0,0,0,0,0,38,32,0,0,22,0,22,9,0
2017/10/1,0,6,0,0,5,0,0,0,0,3,9,30,0,0,9,0,16,0,9
2017/11/1,0,10,4,0,8,0,0,0,0,3,48,37,0,0,14,0,24,13,9
2017/12/1,0,23,0,0,14,0,0,0,0,0,25,26,0,0,11,0,20,8,9
2018/1/1,0,5,4,0,4,0,0,0,0,5,21,27,0,0,39,0,19,10,7
2018/2/1,0,4,0,0,0,0,0,0,0,5,29,35,0,0,21,0,13,6,6
2018/3/1,0,8,0,0,8,0,0,0,0,0,29,36,0,0,11,0,14,13,4
2018/4/1,0,0,3,0,11,0,0,0,0,0,36,47,0,0,11,0,26,20,0
2018/5/1,0,15,9,0,4,0,0,0,0,0,31,52,0,0,11,0,23,11,9
2018/6/1,0,0,6,0,5,0,0,0,0,0,21,40,0,0,19,0,23,46,8
2018/7/1,0,0,0,0,3,0,0,0,0,0,22,25,0,0,11,0,9,6,15
2018/8/1,0,0,0,0,5,0,0,0,0,0,27,31,0,0,19,0,16,10,0
2018/9/1,0,6,0,0,7,0,0,0,0,0,28,37,0,0,9,0,20,12,8
2018/10/1,0,6,7,0,0,0,0,0,0,0,25,39,0,0,16,0,17,21,7
2018/11/1,0,5,0,0,8,0,0,0,0,0,31,52,0,0,13,0,22,16,10
2018/12/1,0,9,0,0,0,0,0,0,0,0,30,39,0,0,10,0,12,6,0
2019/1/1,0,6,0,0,5,0,0,0,0,0,23,30,0,0,43,0,15,8,5
2019/2/1,0,0,0,0,0,0,0,0,0,0,24,19,0,0,24,0,20,7,0
2019/3/1,0,0,4,0,3,0,0,0,0,7,42,54,0,0,5,0,14,10,0
