日期,人力派遣,外送員、Uber,零工、零工經濟,非正規就業、非典型就業,風險承擔,就業保險,一般就業技能,人才培訓,職涯發展、勞動力發展,職業教育,職業訓練,就業力,終身學習,數位學習
2011/1/1,1,0,0,0,0,1,0,2,0,1,4,0,3,8
2011/2/1,2,2,0,0,0,0.6,0,1,1,0.6,6,0,3,5
2011/3/1,1,1.6,0,1,0,1,0,2,0,1,5,0,7,10
2011/4/1,1,0,0.6,0,0,1,0,2,0,2,5,0,6,9
2011/5/1,1,0,0.6,0.6,0,1,0,1,1,1,6,0,6,8
2011/6/1,1,1.2,0.6,0,0,1,0,2,0,1,4,0,7,8
2011/7/1,1,0.6,0,0.6,0,1,0,2,0.6,2,5,0,5,7
2011/8/1,2,0.6,0,0,0,1,0,2,0,1,7,0,7,9
2011/9/1,2,0,0,0,0,1,0,2,1,1,5,0,6,9
2011/10/1,2,0.6,0.6,1,0,0.6,0,1,0.6,1,5,0,5,10
2011/11/1,1,0.6,1,0.6,0,1,0,1,0,2,5,0,6,9
2011/12/1,2,0.6,0,0,0,1,0,2,0,1,4,0,4,9
2012/1/1,1,0.6,0,0,0,0.6,0,1,0.6,1,3,0,2,6
2012/2/1,2,1,1,0.6,0,0.6,0,1,0,1,5,0,4,7
2012/3/1,1,0.6,0.6,0.6,0,1,0,1,0.6,1,4,0,5,8
2012/4/1,2,0.6,0,0,0,0,0,1,1,1,4,0,4,8
2012/5/1,2,1,0,0,0,1,0,1,1,2,6,0,5,7
2012/6/1,2,0.6,0.6,0,0,1,0,1,0,1,5,0,5,9
2012/7/1,3,1.6,0.6,0,0,1,0,1,0.6,0.6,4,0,4,6
2012/8/1,5,0.6,1.6,0,0,0.6,0,2,1,1,5,0,5,4
2012/9/1,3,1,0.6,0,0,1,0,1,0.6,1,4,0,4,9
2012/10/1,1,1,0.6,0,0,1,0,1,0,1,4,0,4,11
2012/11/1,1,0.6,0,1,0,1,0,1,1,1,4,0,4,9
2012/12/1,2,1.2,0,0,0,1,0,1,0.6,1,4,0,5,10
2013/1/1,1,0.6,0.6,0,0,1,0,2,0,1,4,0,3,8
2013/2/1,1,0.6,0.6,0,0,0.6,0,2,0.6,1,3,0,3,5
2013/3/1,2,0.6,0.6,0.6,0,1,0,1,0.6,1,5,0,3,8
2013/4/1,2,0,0,0.6,0,1,0,1,1,1,4,0,3,9
2013/5/1,2,0.6,0,0,0,1,0,1,0.6,1,5,0,4,8
2013/6/1,3,1.2,1.2,0,0,1,0,2,0,1,4,0,4,10
2013/7/1,2,1.6,0,0,0,0.6,0,1,0.6,1,4,0,3,7
2013/8/1,3,2.6,0,1,0,0.6,0,1,0.6,1,4,0,3,7
2013/9/1,2,2.6,1.2,0,0,1,0,1,0.6,1,4,0,4,9
2013/10/1,3,1.6,0.6,0.6,0,1,0,1,0.6,1,4,0,5,13
2013/11/1,2,1.6,0,0.6,0,1,0,1,0.6,1,3,0,5,13
2013/12/1,2,1.6,0,0,0,1,0,1,1,1,4,0,5,12
2014/1/1,1,2,0.6,0,0,1,0,1,0.6,1,3,0,4,7
