日期,電子垃圾,電子廢棄物,貴金屬回收,電池回收,金屬粉塵,重金屬汙染,有毒化學污染
2011/1/1,0,0,0,19,0,8,0
2011/2/1,0,23,0,20,0,11,0
2011/3/1,16,0,6,0,0,0,0
2011/4/1,0,0,0,11,0,6,0
2011/5/1,0,11,17,22,0,0,0
2011/6/1,0,0,6,8,0,0,0
2011/7/1,0,10,8,10,0,0,0
2011/8/1,0,0,7,17,0,0,0
2011/9/1,0,0,7,26,0,0,0
2011/10/1,0,31,0,19,0,0,0
2011/11/1,0,8,6,24,0,0,0
2011/12/1,0,8,0,28,0,0,0
2012/1/1,0,0,0,20,0,0,0
2012/2/1,0,15,0,16,0,6,0
2012/3/1,0,0,6,24,0,0,0
2012/4/1,0,0,6,21,0,5,0
2012/5/1,8,0,6,30,0,7,0
2012/6/1,5,0,0,25,0,0,0
2012/7/1,0,6,0,23,0,0,0
2012/8/1,0,0,15,16,0,0,0
2012/9/1,0,0,4,29,0,0,0
2012/10/1,4,0,0,21,0,4,0
2012/11/1,8,9,12,20,0,0,0
2012/12/1,0,4,13,15,0,3,0
2013/1/1,5,8,5,27,0,4,0
2013/2/1,0,10,0,27,0,4,0
2013/3/1,0,15,0,16,0,0,0
2013/4/1,3,0,0,28,0,3,0
2013/5/1,3,0,0,18,0,0,0
2013/6/1,3,3,4,22,0,3,0
2013/7/1,0,0,14,16,0,0,0
2013/8/1,8,0,9,17,0,0,0
2013/9/1,4,0,0,12,0,5,0
2013/10/1,2,0,0,15,0,4,0
2013/11/1,3,0,0,18,0,4,0
2013/12/1,4,3,14,20,0,8,0
2014/1/1,7,5,3,23,0,4,0
2014/2/1,4,0,0,15,0,0,0
2014/3/1,2,0,0,10,0,0,0
2014/4/1,4,3,3,23,0,5,0
2014/5/1,0,0,0,14,0,5,0
2014/6/1,0,6,0,18,0,0,0
2014/7/1,4,4,0,20,0,0,0
2014/8/1,0,0,3,16,0,0,0
2014/9/1,0,0,0,12,0,0,0
2014/10/1,0,0,0,17,0,5,0
2014/11/1,0,0,0,22,0,4,0
2014/12/1,6,0,0,24,0,4,0
2015/1/1,0,3,3,17,0,3,0
2015/2/1,0,0,0,17,0,9,0
2015/3/1,2,0,4,14,0,3,0
2015/4/1,9,3,0,18,0,4,0
2015/5/1,2,0,0,18,0,0,0
2015/6/1,4,0,3,24,0,2,0
2015/7/1,2,2,0,15,0,0,0
2015/8/1,4,10,3,14,0,0,0
2015/9/1,6,0,1,18,0,3,0
2015/10/1,3,0,2,20,0,2,0
2015/11/1,0,2,0,14,0,4,0
2015/12/1,4,0,0,25,0,5,0
2016/1/1,4,0,0,15,0,5,0
2016/2/1,3,2,3,17,0,0,0
2016/3/1,0,7,4,13,0,0,0
2016/4/1,0,0,0,19,0,2,0
2016/5/1,2,0,3,15,0,2,0
2016/6/1,2,0,2,17,0,2,0
2016/7/1,2,0,0,18,0,0,0
2016/8/1,2,0,2,21,0,0,0
2016/9/1,0,0,2,14,0,0,0
2016/10/1,0,0,2,16,0,3,0
2016/11/1,12,0,7,12,0,0,0
2016/12/1,0,0,2,22,0,0,0
2017/1/1,3,0,6,20,0,0,0
2017/2/1,7,0,2,22,0,0,0
2017/3/1,3,0,3,21,0,0,0
2017/4/1,4,0,2,19,0,0,0
2017/5/1,4,0,2,18,0,2,0
2017/6/1,4,3,2,19,0,2,0
2017/7/1,0,0,0,18,0,3,0
2017/8/1,1,0,7,25,0,0,0
2017/9/1,0,2,8,23,0,0,0
2017/10/1,2,3,2,25,0,0,0
2017/11/1,2,0,0,21,0,3,0
2017/12/1,4,3,0,30,0,3,0
2018/1/1,5,0,0,20,0,0,0
2018/2/1,4,2,4,34,0,2,0
2018/3/1,6,0,0,24,0,0,0
2018/4/1,3,2,0,24,0,2,0
2018/5/1,0,0,4,22,0,2,0
2018/6/1,4,0,3,25,0,2,0
2018/7/1,5,3,0,22,0,4,0
2018/8/1,3,4,3,25,0,0,0
2018/9/1,2,0,5,40,0,0,0
2018/10/1,2,0,4,36,0,2,0
2018/11/1,0,1,0,26,0,0,0
2018/12/1,0,0,3,27,0,2,0
2019/1/1,3,0,0,29,0,0,0
2019/2/1,0,0,0,35,0,0,0
2019/3/1,5,3,3,29,0,0,0
2019/4/1,0,3,2,28,0,0,0
2019/5/1,0,4,3,29,0,2,0
2019/6/1,4,2,0,28,0,4,0
2019/7/1,1,3,5,27,0,0,0
2019/8/1,2,2,0,26,0,3,0
2019/9/1,5,0,0,48,0,0,0
2019/10/1,3,3,3,41,0,3,0
2019/11/1,4,1,3,32,0,0,0
2019/12/1,2,0,0,30,0,2,0
2020/1/1,4,6,3,44,0,0,0
2020/2/1,3,3,4,31,0,0,0
2020/3/1,8,3,4,36,0,0,0
2020/4/1,2,3,6,31,0,4,0
2020/5/1,3,1,0,32,0,0,0
2020/6/1,3,1,3,25,0,1,0
2020/7/1,6,0,4,31,0,2,0
2020/8/1,0,0,4,32,0,0,0
2020/9/1,4,0,2,100,0,0,0
2020/10/1,5,3,2,40,0,0,0
2020/11/1,3,2,2,26,0,2,0
2020/12/1,4,2,4,26,0,0,0
2021/1/1,0,0,6,42,0,0,0
2021/2/1,4,0,0,43,0,2,0
2021/3/1,1,0,3,30,0,0,0
2021/4/1,5,0,6,26,0,0,0
2021/5/1,3,1,3,24,0,0,0
2021/6/1,4,0,1,24,0,0,0
2021/7/1,0,0,0,36,0,1,0
2021/8/1,4,3,2,37,0,0,0
2021/9/1,5,0,2,65,0,0,0
2021/10/1,6,0,0,41,0,6,0
2021/11/1,10,0,1,35,0,0,0
2021/12/1,6,2,5,35,0,0,0
