日期,住宅負擔,居住正義、世代正義,住宅宣言,都市更新、都更,房價、住宅費用,租屋,房租、租金,屋主,住宅擁有、住宅自有,住宅市場,住宅交易,空屋率,住宅階級,住宅投資,公共住宅,混合住宅,社會住宅、社宅,居住安排,危老建築、老舊建築物,租金補貼,包租代管,房價抑制、打房,房市炒作,實價登錄,土地稅,不動產交易稅
2011/1/1,0,1,0,8,12,62,5,1,0,0,0,0.6,0,0,0,0,1,0,0,1,0,1,0,0,2,0
2011/2/1,0,0.6,0,9,15,68,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6,2,0
2011/3/1,0,0,0,8,13,74,4,1,0,0,0,1,0,0,0.6,0,0.6,0,0,1,0,3,0,0.6,2,0
2011/4/1,0,0,0,8,13,81,6,1,0,0,0,0.6,0,0,0,0,1.6,0,0,0.6,0,2,0,0,2,0
2011/5/1,0,0,0,8,11,79,6,1,0,0,0,0.6,0,0,0,0,1.6,0,0,0,0,1,0,0,3,0
2011/6/1,0,0.6,0,8,13,88,4,1,0,0,0,0,0,0,0,0,0.6,0,0,0,0,1,0,0,2,0
2011/7/1,0,0.6,0,8,11,88,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.6,0,0,2,0
2011/8/1,0,0,0,8,13,86,4,1,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0.6,2,0
2011/9/1,0,0,0,8,12,79,4,1,0,0,0,0,0,0,0,0,1,0,0,0.6,0,0.6,0,0.6,2,0
2011/10/1,0,1.2,0,7,11,69,5,1,0,0,0,1,0,0,0.6,0,1,0,0,1,0,0.6,0,0,1,0
2011/11/1,0,0,0,8,11,61,4,1,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0,0.6,0,0,2,0
2011/12/1,0,1,0,7,11,53,4,0.6,0,0,0,0.6,0,0,0.6,0,2,0,0,0,0,0.6,0,2,3,0
2012/1/1,0,0.6,0,5,10,42,3,1,0,0,0,0.6,0,0,0,0,1,0,0,0.6,0,0,0,1,2,0
2012/2/1,0,0,0,6,13,59,4,1,0,0,0,0,0,0,0,0,0.6,0,0,0.6,0,1,0,1,2,0
2012/3/1,0,0.6,0,28,14,57,4,1,0,0,0,0,0,0,0.6,0,1,0,0,0,0,0.6,0,1,2,0
2012/4/1,0,1,0,20,14,65,5,1,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0,0,0,1,2,0
2012/5/1,0,0.6,0,9,14,74,5,1,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.6,0,2,3,0
2012/6/1,0,0.6,0,8,13,79,6,1,0,0,0,0.6,0,0,0,0,0.6,0,0,1,0,1,0,2,2,0
2012/7/1,0,0.6,0,8,14,79,8,1,0,0,0,1,0,0,0.6,0,0.6,0,0,2,0,1,0,3,2,0
2012/8/1,0,0,0,7,13,73,6,1,0,0,0,0.6,0,0,0,0,1.2,0,0,1,0,0.6,0,5,2,0
2012/9/1,0,0,0,5,12,63,6,1,0,0,0,0,0,0,0.6,0,0,0,0,1,0,0.6,0,6,2,0
2012/10/1,0,0.6,0,6,21,62,4,1,0,0,0,0.6,0,0,0,0,0.6,0,0,0.6,0,0.6,0,81,3,0
2012/11/1,0,0.6,0,6,14,59,4,1,0,0,0,0.6,0,0,0,0,1.2,0,0,0.6,0,0.6,0,54,3,0
2012/12/1,0,0.6,0,7,11,54,4,1,0,0,0,0,0,0,0.6,0,0.6,0,0,0.6,0,0.6,0,26,2,0
2013/1/1,0,0,0,6,12,58,5,1,0,0,0,0.6,0,0,0,0,0.6,0,0,1,0,0.6,0,24,2,0
2013/2/1,0,0.6,0,4,13,60,4,1,0,0,0,0,0,0,0.6,0,0,0,0,0.6,0,0.6,0,21,2,0
2013/3/1,0,0.6,0,6,16,72,6,1,0,0,0,0,0,0,0.6,0,1.2,0,0,0.6,0,1,0,26,2,0
2013/4/1,0,0,0,6,14,70,6,1,0,0,0,0,0,0,0.6,0,0.6,0,0,0.6,0,1,0,23,3,0
2013/5/1,0,0.6,0,5,14,86,8,1,0,0,0,0.6,0,0,0.6,0,1.2,0,0,0.6,0,0.6,0,21,2,0
2013/6/1,0,1.2,0,6,15,79,6,1,0,0,0,0.6,0,0,0.6,0,0.6,0,0,0.6,0,0.6,0,18,2,0
2013/7/1,0,0,0,6,14,77,6,1,0,0,0,0.6,0,0,0,0,0.6,0,0,1,0,0.6,0,16,2,0
2013/8/1,0,0,0,5,14,72,6,1,0,0,0,0.6,0,0,0,0,0.6,0,0,1,0,0.6,0,16,2,0
2013/9/1,0,0.6,0,5,13,67,4,1,0,0,0,0.6,0,0,0,0,0.6,0,0,0.6,0,0.6,0,15,2,0
2013/10/1,0,0.6,0,5,14,60,4,1,0,0,0,0.6,0,0,0.6,0,0.6,0,0,0.6,0,1,0,19,3,0
2013/11/1,0,0.6,0,7,14,59,4,1,0,0,0,0.6,0,0,0,0,0.6,0,0,0.6,0,0.6,0,16,2,0
2013/12/1,0,0.6,0,6,15,51,5,1,0,0,0,0.6,0,0,0.6,0,1,0,0,0,0,0.6,0,14,3,0
2014/1/1,0,0.6,0,5,12,51,4,1,0,0,0,0.6,0,0,0.6,0,1.2,0,0,0.6,0,0.6,0,14,3,0
2014/2/1,0,0,0,5,14,66,5,1,0,0,0,0.6,0,0,0.6,0,0.6,0,0,0.6,0,0.6,0,15,2,0
2014/3/1,0,0.6,0,6,15,72,5,1,0,0,0,0,0,0,0,0,0.6,0,0,0.6,0,0.6,0,18,3,0
2014/4/1,0,1.2,0,8,18,75,6,1,0,0,0,0.6,0,0,0.6,0,0.6,0,0,0.6,0,1,0,19,2,0
2014/5/1,0,0.6,0,5,17,73,6,1,0,0,0,0.6,0,0,0.6,0,1.6,0,0,0.6,0,1,0,17,2,0
2014/6/1,0,1.2,0,5,16,80,5,1,0,0,0,0.6,0,0,0,0,1,0,0,0.6,0,1,0,15,3,0
2014/7/1,0,0.6,0,5,14,67,5,1,0,0,0,0.6,0,0,0.6,0,1,0,0,1,0,1,0,15,2,0
2014/8/1,0,0,0,5,14,61,6,1,0,0,0,0.6,0,0,0.6,0,0.6,0,0,1,0,1,0,17,2,0
2014/9/1,0,0,0,6,15,62,4,1,0,0,0,0.6,0,0,0.6,0,0.6,0,0,0.6,0,1,0,16,3,0
2014/10/1,0,1.2,0,5,14,58,4,1,0,0,0,0.6,0,0,0,0,1,0,0,1,0,0.6,0,16,3,0
2014/11/1,0,0.6,0,5,13,55,5,1,0,0,0,0.6,0,0,0.6,0,1,0,0,0.6,0,0.6,0,14,3,0
2014/12/1,0,0,0,5,12,51,4,1,0,0,0,0,0,0,0,0,1,0,0,0.6,0,1,0,15,3,0
2015/1/1,0,0.6,0,5,12,58,6,1,0,0,0,0.6,0,0,0,0,0.6,0,0,0.6,0,0.6,0,16,3,0
2015/2/1,0,0.6,0,3,12,51,5,1,0,0,0,0.6,0,0,1,0,1,0,0,0.6,0,0.6,0,12,2,0
2015/3/1,0,0.6,0,5,16,76,6,1,0,0,0,0.6,0,0,2,0,3,0,0,0.6,0,1,0,17,2,0
2015/4/1,0,0.6,0,5,14,67,6,1,0,0,0,0.6,0,0,2,0,1,0,0,0.6,0,0.6,0,16,2,0
2015/5/1,0,0,0,5,14,81,7,1,0,0,0,0.6,0,0,0.6,0,1,0,0,0.6,0,0.6,0,16,3,0
2015/6/1,0,0,0,5,14,85,6,1,0,0,0,0.6,0,0,0.6,0,1.6,0,0,0.6,0,0.6,0,17,2,0
2015/7/1,0,0.6,0,5,15,78,6,1,0,0,0,0.6,0,0,0.6,0,1,0,0,1,0,0.6,0,18,2,0
2015/8/1,0,0.6,0,3,14,72,6,1,0,0,0,0,0,0,0.6,0,1.6,0,0,1,0,0.6,0,16,2,0
2015/9/1,0,1,0,5,14,64,5,1,0,0,0,0.6,0,0,1,0,1,0,0,0.6,0,0.6,0,17,2,0
2015/10/1,0,1.2,0,5,14,66,5,1,0,0,0,0.6,0,0,1,0,1,0,0,0.6,0,1,0,19,2,0
2015/11/1,0,1.2,0,4,13,61,6,1,0,0,0,0.6,0,0,2,0,1,0,0,0.6,0,1,0,18,3,0
2015/12/1,0,0.6,0,4,12,64,6,1,0,0,0,0.6,0,0,1,0,1,0,0,0.6,0,0.6,0,16,3,0
2016/1/1,0,0.6,0,3,11,59,6,1,0,0,0,0,0,0,1,0,1,0,0,0.6,0,0.6,0,14,2,0
2016/2/1,0,0.6,0,4,13,62,5,1,0,0,0,0.6,0,0,0.6,0,0.6,0,0,0.6,0,0.6,0,13,2,0
2016/3/1,0,0.6,0,5,14,72,6,1,0,0,0,0.6,0,0,1,0,1.6,0,0,0.6,0,0.6,0,16,2,0
2016/4/1,0,1.2,0,4,15,78,6,1,0,0,0,0.6,0,0,0.6,0,1,0,0,0.6,0,0.6,0,16,2,0
2016/5/1,0,0.6,0,5,14,78,8,1,0,0,0,0.6,0,0,1,0,1,0,0,0.6,0,0.6,0,16,2,0
2016/6/1,0,0.6,0,5,15,100,7,1,0,0,0,0,0,0,1,0,2.6,0,0,0.6,0,0.6,0,16,2,0
2016/7/1,0,0.6,0,4,16,93,7,1,0,0,0,0.6,0,0,0.6,0,1.6,0,0,1,0,0.6,0,17,2,0
2016/8/1,0,0.6,0,3,14,90,6,1,0,0,0,0,0,0,0.6,0,2.6,0,0,1,0,0.6,0,15,2,0
2016/9/1,0,0.6,0,3,14,80,5,1,0,0,0,0.6,0,0,0.6,0,1,0,0,0.6,0,0.6,0,16,2,0
2016/10/1,0,1.2,0,3,16,78,6,1,0,0,0,0.6,0,0,0.6,0,1.6,0,0,0.6,0,0.6,0,18,2,0
2016/11/1,0,0.6,0,6,15,68,6,1,0,0,0,0,0,0,0.6,0,1.6,0,0,0.6,0,1,0,17,4,0
2016/12/1,0,1.2,0,5,13,70,6,1,0,0,0,0.6,0,0,0.6,0,2.6,0,0,0.6,0,0.6,0,16,2,0
2017/1/1,0,0.6,0,4,13,63,6,1,0,0,0,0.6,0,0,0.6,0,1,0,0,0.6,0,0,0,15,2,0
2017/2/1,0,0,0,4,15,80,6,1,0,0,0,0,0,0,1,0,1.6,0,0,0.6,0,0.6,0,19,2,0
2017/3/1,0,1.2,0,7,16,96,6,1,0,0,0,0.6,0,0,1,0,2.6,0,0,0.6,0,0.6,0,22,3,0
2017/4/1,0,1.2,0,5,17,95,7,1,0,0,0,0,0,0,0.6,0,1.6,0,0,0.6,0,0.6,0,23,3,0
2017/5/1,0,0,0,4,15,83,8,1,0,0,0,0.6,0,0,1,0,2.6,0,0,0.6,0,0.6,0,21,3,0
2017/6/1,0,0.6,0,5,16,86,7,1,0,0,0,0,0,0,0.6,0,1.6,0,0,0.6,0,0.6,0,20,3,0
2017/7/1,0,0.6,0,4,17,86,6,1,0,0,0,0.6,0,0,0.6,0,1.6,0,0,1,0,0.6,0,21,2,0
2017/8/1,0,0,0,5,16,80,7,1,0,0,0,0.6,0,0,0.6,0,1.6,0,0,1,0,0.6,0,20,2,0
2017/9/1,0,0.6,0,4,15,72,7,1,0,0,0,0.6,0,0,0.6,0,2.6,0,0,0.6,0,0.6,0,21,2,0
2017/10/1,0,0.6,0,3,17,59,6,1,0,0,0,0.6,0,0,1,0,2.6,0,0,0.6,0,0.6,0,20,3,0
2017/11/1,0,0.6,0,6,15,66,6,1,0,0,0,0.6,0,0,1,0,3.6,0,0,0.6,0,0.6,0,21,3,0
2017/12/1,0,0.6,0,4,14,63,7,1,0,0,0,0.6,0,0,1,0,3,0,0,0.6,0,0.6,0,19,3,0
2018/1/1,0,0.6,0,4,14,73,7,1,0,0,0,0.6,0,0,2,0,2.6,0,0,0.6,0,0.6,0,21,3,0
2018/2/1,0,0.6,0,4,15,61,5,2,0,0,0,0.6,0,0,1,0,3.6,0,0,0.6,0,0.6,0,16,2,0
